log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,security_bits,BEST
36,68719476736,262144,1200,64,18446744073709551616,40,1112679.90,65536,16.0,128.8,
36,68719476736,262144,1224,64,18446744073709551616,40,746021.45,80036,16.3,128.0,YES
36,68719476736,262144,1224,64,18446744073709551616,40,746021.51,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746021.75,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746022.22,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746023.18,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746025.09,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746032.71,80036,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,746093.75,80032,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,750000.00,79824,16.3,128.0,
36,68719476736,262144,1224,64,18446744073709551616,40,1000000.00,69129,16.1,130.5,
36,68719476736,262144,1536,64,18446744073709551616,40,17504.35,522506,19.0,128.0,YES
36,68719476736,262144,1536,64,18446744073709551616,40,17504.43,522505,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17504.58,522503,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17504.88,522498,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17509.77,522426,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17519.53,522280,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17539.06,521989,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17578.12,521409,19.0,128.0,
36,68719476736,262144,1536,64,18446744073709551616,40,17656.25,520254,19.0,128.1,
36,68719476736,262144,1536,64,18446744073709551616,40,17812.50,517967,19.0,128.1,
36,68719476736,262144,1536,64,18446744073709551616,40,18125.00,513482,19.0,128.3,
36,68719476736,262144,1536,64,18446744073709551616,40,18750.00,504852,18.9,128.5,
36,68719476736,262144,1536,64,18446744073709551616,40,20000.00,488821,18.9,129.0,
36,68719476736,262144,1536,64,18446744073709551616,40,30000.00,399120,18.6,132.3,
36,68719476736,262144,1536,64,18446744073709551616,40,50000.00,309157,18.2,136.6,
36,68719476736,262144,1536,64,18446744073709551616,40,100000.00,218607,17.7,142.7,
36,68719476736,262144,1536,64,18446744073709551616,40,500000.00,97764,16.6,158.9,
36,68719476736,262144,1536,64,18446744073709551616,40,1000000.00,69129,16.1,166.7,
36,68719476736,262144,1664,64,18446744073709551616,40,4346.41,1048576,20.0,128.3,
36,68719476736,262144,1696,64,18446744073709551616,40,2957.95,1271071,20.3,128.0,YES
36,68719476736,262144,1696,64,18446744073709551616,40,2958.01,1271058,20.3,128.0,
36,68719476736,262144,1696,64,18446744073709551616,40,2958.98,1270848,20.3,128.0,
36,68719476736,262144,1696,64,18446744073709551616,40,2960.94,1270429,20.3,128.0,
36,68719476736,262144,1696,64,18446744073709551616,40,2968.75,1268756,20.3,128.0,
36,68719476736,262144,1696,64,18446744073709551616,40,3000.00,1262130,20.3,128.1,
36,68719476736,262144,1696,64,18446744073709551616,40,5000.00,977642,19.9,132.0,
36,68719476736,262144,1696,64,18446744073709551616,40,10000.00,691297,19.4,137.5,
36,68719476736,262144,1696,64,18446744073709551616,40,50000.00,309157,18.2,152.0,
36,68719476736,262144,1696,64,18446744073709551616,40,100000.00,218607,17.7,158.9,
36,68719476736,262144,1696,64,18446744073709551616,40,500000.00,97764,16.6,177.1,
36,68719476736,262144,1696,64,18446744073709551616,40,1000000.00,69129,16.1,186.0,
36,68719476736,262144,2048,64,18446744073709551616,40,77.54,7850634,22.9,128.0,YES
36,68719476736,262144,2048,64,18446744073709551616,40,77.73,7840766,22.9,128.0,
36,68719476736,262144,2048,64,18446744073709551616,40,78.12,7821139,22.9,128.1,
36,68719476736,262144,2048,64,18446744073709551616,40,81.25,7669258,22.9,128.3,
36,68719476736,262144,2048,64,18446744073709551616,40,87.50,7390282,22.8,128.8,
36,68719476736,262144,2048,64,18446744073709551616,40,100.00,6912976,22.7,129.7,
36,68719476736,262144,2048,64,18446744073709551616,40,500.00,3091576,21.6,141.6,
36,68719476736,262144,2048,64,18446744073709551616,40,1000.00,2186074,21.1,147.3,
36,68719476736,262144,2048,64,18446744073709551616,40,5000.00,977642,19.9,161.8,
36,68719476736,262144,2048,64,18446744073709551616,40,10000.00,691297,19.4,168.8,
36,68719476736,262144,2048,64,18446744073709551616,40,50000.00,309157,18.2,187.0,
36,68719476736,262144,2048,64,18446744073709551616,40,100000.00,218607,17.7,195.7,
36,68719476736,262144,2048,64,18446744073709551616,40,500000.00,97764,16.6,218.4,
36,68719476736,262144,2048,64,18446744073709551616,40,1000000.00,69129,16.1,229.5,
36,68719476736,262144,2208,64,18446744073709551616,40,16.98,16777216,24.0,128.2,
36,68719476736,262144,2248,64,18446744073709551616,40,11.33,20539318,24.3,128.0,YES
36,68719476736,262144,2248,64,18446744073709551616,40,11.41,20468857,24.3,128.1,
36,68719476736,262144,2248,64,18446744073709551616,40,11.56,20330084,24.3,128.2,
36,68719476736,262144,2248,64,18446744073709551616,40,11.88,20060799,24.3,128.4,
36,68719476736,262144,2248,64,18446744073709551616,40,12.50,19552848,24.2,128.7,
36,68719476736,262144,2248,64,18446744073709551616,40,15.00,17849227,24.1,129.8,
36,68719476736,262144,2248,64,18446744073709551616,40,20.00,15457884,23.9,131.8,
36,68719476736,262144,2248,64,18446744073709551616,40,30.00,12621309,23.6,134.6,
36,68719476736,262144,2248,64,18446744073709551616,40,50.00,9776424,23.2,138.2,
36,68719476736,262144,2248,64,18446744073709551616,40,100.00,6912976,22.7,143.4,
36,68719476736,262144,2248,64,18446744073709551616,40,500.00,3091576,21.6,156.6,
36,68719476736,262144,2248,64,18446744073709551616,40,1000.00,2186074,21.1,163.0,
36,68719476736,262144,2248,64,18446744073709551616,40,5000.00,977642,19.9,179.3,
36,68719476736,262144,2248,64,18446744073709551616,40,10000.00,691297,19.4,187.1,
36,68719476736,262144,2248,64,18446744073709551616,40,50000.00,309157,18.2,207.4,
36,68719476736,262144,2248,64,18446744073709551616,40,100000.00,218607,17.7,217.1,
36,68719476736,262144,2248,64,18446744073709551616,40,500000.00,97764,16.6,242.6,
36,68719476736,262144,2248,64,18446744073709551616,40,1000000.00,69129,16.1,255.0,
