log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
39,549755813888,741456,1208,64,18446744073709551616,20,924442.76,65536,16.0,16,128.0
39,549755813888,741456,1433,64,18446744073709551616,20,57777.67,262144,18.0,18,128.0
39,549755813888,741456,1678,64,18446744073709551616,20,3611.10,1048576,20.0,20,128.0
39,549755813888,741456,1942,64,18446744073709551616,20,225.69,4194304,22.0,22,128.1
