log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
37,137438953472,370728,1207,64,18446744073709551616,40,935648.54,65536,16.0,16,128.0
37,137438953472,370728,1432,64,18446744073709551616,40,58478.03,262144,18.0,18,128.0
37,137438953472,370728,1677,64,18446744073709551616,40,3654.88,1048576,20.0,20,128.0
37,137438953472,370728,1940,64,18446744073709551616,40,228.43,4194304,22.0,22,128.0
