log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
37,137438953472,370728,1181,64,18446744073709551616,20,1307359.50,65536,16.0,16,128.0
37,137438953472,370728,1404,64,18446744073709551616,20,81709.97,262144,18.0,18,128.1
37,137438953472,370728,1647,64,18446744073709551616,20,5106.87,1048576,20.0,20,128.1
37,137438953472,370728,1912,64,18446744073709551616,20,319.18,4194304,22.0,22,128.3
