log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
36,68719476736,262144,1194,64,18446744073709551616,40,1112679.90,65536,16.0,16,128.1
36,68719476736,262144,1418,64,18446744073709551616,40,69542.49,262144,18.0,18,128.1
36,68719476736,262144,1661,64,18446744073709551616,40,4346.41,1048576,20.0,20,128.0
36,68719476736,262144,1924,64,18446744073709551616,40,271.65,4194304,22.0,22,128.1
