log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
36,68719476736,262144,1168,64,18446744073709551616,20,1554721.21,65536,16.0,16,128.1
36,68719476736,262144,1390,64,18446744073709551616,20,97170.08,262144,18.0,18,128.1
36,68719476736,262144,1631,64,18446744073709551616,20,6073.13,1048576,20.0,20,128.1
36,68719476736,262144,1900,64,18446744073709551616,20,379.57,4194304,22.0,22,128.7
