log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
38,274877906944,524288,1195,64,18446744073709551616,20,1099353.91,65536,16.0,16,128.1
38,274877906944,524288,1419,64,18446744073709551616,20,68709.62,262144,18.0,18,128.1
38,274877906944,524288,1662,64,18446744073709551616,20,4294.35,1048576,20.0,20,128.0
38,274877906944,524288,1924,64,18446744073709551616,20,268.40,4194304,22.0,22,128.0
