log_N,N,m,n,log_q,q,log_delta,sigma,p,log2_p,target_log2_p,security_bits
39,549755813888,741456,1234,64,18446744073709551616,40,661603.43,65536,16.0,16,128.0
39,549755813888,741456,1462,64,18446744073709551616,40,41350.21,262144,18.0,18,128.1
39,549755813888,741456,1709,64,18446744073709551616,40,2584.39,1048576,20.0,20,128.0
39,549755813888,741456,1975,64,18446744073709551616,40,161.52,4194304,22.0,22,128.1
